Isla,Gasto_persona,Gasto_persona_día,year,month
Mallorca,886.78,111.45,2021,12
Menorca,569.33,97.75,2021,12
Ibiza_Formentera,743.48,89.62,2021,12
Mallorca,886.79,126.19,2021,11
Menorca,589.2,96.37,2021,11
Ibiza_Formentera,764.39,84.01,2021,11
Mallorca,1036.27,145.14,2021,10
Menorca,881.73,138.53,2021,10
Ibiza_Formentera,983.55,159.91,2021,10
Mallorca,1089.92,139.75,2021,9
Menorca,880.65,127.86,2021,9
Ibiza_Formentera,943.3,141.29,2021,9
Mallorca,1087.25,144.95,2021,8
Menorca,966.62,112.62,2021,8
Ibiza_Formentera,1025.42,154.46,2021,8
Mallorca,1128.72,159.94,2021,7
Menorca,913.02,129.46,2021,7
Ibiza_Formentera,955.58,160.55,2021,7
Mallorca,1014.28,154.17,2021,6
Menorca,789.33,122.66,2021,6
Ibiza_Formentera,937.84,128.1,2021,6
Mallorca,968.59,138.43,2021,5
Menorca,685.03,102.89,2021,5
Ibiza_Formentera,841.69,124.68,2021,5
Mallorca,917.68,111.66,2021,4
Menorca,622.64,99.43,2021,4
Ibiza_Formentera,668.0,89.25,2021,4
Mallorca,844.69,99.66,2021,3
Menorca,512.84,63.96,2021,3
Ibiza_Formentera,642.17,100.14,2021,3
Mallorca,698.24,79.74,2021,2
Menorca,508.34,60.13,2021,2
Ibiza_Formentera,667.28,58.56,2021,2
Mallorca,739.24,64.67,2021,1
Menorca,628.57,67.78,2021,1
Ibiza_Formentera,628.36,68.48,2021,1
Mallorca,701.65,84.49,2020,12
Menorca,622.47,62.82,2020,12
Ibiza_Formentera,652.78,89.4,2020,12
Mallorca,781.56,88.78,2020,11
Menorca,593.46,64.7,2020,11
Ibiza_Formentera,685.87,90.45,2020,11
Mallorca,740.43,92.65,2020,10
Menorca,675.96,75.06,2020,10
Ibiza_Formentera,747.82,92.52,2020,10
Mallorca,938.71,92.28,2020,9
Menorca,809.79,81.17,2020,9
Ibiza_Formentera,780.64,128.11,2020,9
Mallorca,1008.73,118.65,2020,8
Menorca,907.85,91.15,2020,8
Ibiza_Formentera,864.19,150.38,2020,8
Mallorca,973.37,124.45,2020,7
Menorca,818.08,110.59,2020,7
Ibiza_Formentera,926.81,143.3,2020,7
Mallorca,721.79,87.97,2020,6
Menorca,,,2020,6
Ibiza_Formentera,,,2020,6
Mallorca,,,2020,5
Menorca,,,2020,5
Ibiza_Formentera,,,2020,5
Mallorca,,,2020,4
Menorca,,,2020,4
Ibiza_Formentera,,,2020,4
Mallorca,762.51,149.15,2020,3
Menorca,461.97,68.22,2020,3
Ibiza_Formentera,524.85,95.59,2020,3
Mallorca,808.5,129.68,2020,2
Menorca,465.07,77.34,2020,2
Ibiza_Formentera,436.53,115.44,2020,2
Mallorca,729.13,94.7,2020,1
Menorca,467.24,65.51,2020,1
Ibiza_Formentera,517.63,80.09,2020,1
Mallorca,831.65,120.91,2019,12
Menorca,521.69,77.3,2019,12
Ibiza_Formentera,685.94,84.33,2019,12
Mallorca,829.86,119.49,2019,11
Menorca,503.67,88.71,2019,11
Ibiza_Formentera,551.02,94.54,2019,11
Mallorca,1008.33,146.43,2019,10
Menorca,983.63,129.15,2019,10
Ibiza_Formentera,962.21,144.53,2019,10
Mallorca,1013.22,153.06,2019,9
Menorca,1053.97,130.33,2019,9
Ibiza_Formentera,1005.14,162.34,2019,9
Mallorca,1165.09,152.2,2019,8
Menorca,1073.31,133.08,2019,8
Ibiza_Formentera,1212.63,174.43,2019,8
Mallorca,1128.62,160.74,2019,7
Menorca,1073.47,137.91,2019,7
Ibiza_Formentera,1213.91,179.37,2019,7
Mallorca,982.65,152.34,2019,6
Menorca,946.72,133.58,2019,6
Ibiza_Formentera,967.91,160.92,2019,6
Mallorca,902.97,164.03,2019,5
Menorca,861.0,142.03,2019,5
Ibiza_Formentera,938.76,164.65,2019,5
Mallorca,880.33,143.27,2019,4
Menorca,563.47,95.7,2019,4
Ibiza_Formentera,691.69,145.75,2019,4
Mallorca,860.41,150.1,2019,3
Menorca,447.23,89.24,2019,3
Ibiza_Formentera,507.26,93.38,2019,3
Mallorca,754.99,133.41,2019,2
Menorca,466.93,74.8,2019,2
Ibiza_Formentera,497.27,87.93,2019,2
Mallorca,729.59,101.31,2019,1
Menorca,454.61,86.79,2019,1
Ibiza_Formentera,594.03,85.1,2019,1
Mallorca,818.25,127.23,2018,12
Menorca,491.58,76.45,2018,12
Ibiza_Formentera,499.24,82.81,2018,12
Mallorca,797.64,110.71,2018,11
Menorca,648.06,75.44,2018,11
Ibiza_Formentera,522.33,81.57,2018,11
Mallorca,981.4,137.11,2018,10
Menorca,1055.24,136.54,2018,10
Ibiza_Formentera,956.02,139.87,2018,10
Mallorca,975.47,141.42,2018,9
Menorca,959.56,126.45,2018,9
Ibiza_Formentera,1065.74,147.42,2018,9
Mallorca,1129.15,145.07,2018,8
Menorca,1069.68,128.6,2018,8
Ibiza_Formentera,1161.22,171.85,2018,8
Mallorca,1098.05,163.94,2018,7
Menorca,1066.7,135.92,2018,7
Ibiza_Formentera,1106.03,183.53,2018,7
Mallorca,952.7,149.23,2018,6
Menorca,958.11,133.84,2018,6
Ibiza_Formentera,927.7,162.65,2018,6
Mallorca,931.74,154.36,2018,5
Menorca,886.21,138.16,2018,5
Ibiza_Formentera,836.45,164.31,2018,5
Mallorca,855.01,139.43,2018,4
Menorca,576.23,107.04,2018,4
Ibiza_Formentera,731.11,159.3,2018,4
Mallorca,882.53,137.18,2018,3
Menorca,525.74,89.5,2018,3
Ibiza_Formentera,573.24,100.21,2018,3
Mallorca,835.93,125.26,2018,2
Menorca,407.42,82.27,2018,2
Ibiza_Formentera,599.44,76.57,2018,2
Mallorca,735.26,97.87,2018,1
Menorca,450.88,71.39,2018,1
Ibiza_Formentera,590.13,103.3,2018,1
Mallorca,801.1,108.04,2017,12
Menorca,433.32,68.05,2017,12
Ibiza_Formentera,992.45,110.76,2017,12
Mallorca,800.96,118.23,2017,11
Menorca,639.73,74.14,2017,11
Ibiza_Formentera,713.49,77.45,2017,11
Mallorca,1005.51,130.76,2017,10
Menorca,936.36,110.14,2017,10
Ibiza_Formentera,1028.36,117.61,2017,10
Mallorca,1020.26,132.72,2017,9
Menorca,909.4,120.45,2017,9
Ibiza_Formentera,939.58,163.48,2017,9
Mallorca,1145.06,130.48,2017,8
Menorca,1005.83,123.03,2017,8
Ibiza_Formentera,1034.01,164.9,2017,8
Mallorca,1105.32,142.85,2017,7
Menorca,990.1,127.04,2017,7
Ibiza_Formentera,1141.94,192.6,2017,7
Mallorca,974.49,137.42,2017,6
Menorca,920.96,129.72,2017,6
Ibiza_Formentera,920.89,166.78,2017,6
Mallorca,919.27,144.93,2017,5
Menorca,842.26,129.79,2017,5
Ibiza_Formentera,822.25,144.23,2017,5
Mallorca,843.92,128.89,2017,4
Menorca,637.63,101.02,2017,4
Ibiza_Formentera,767.15,138.07,2017,4
Mallorca,803.04,129.55,2017,3
Menorca,444.85,69.08,2017,3
Ibiza_Formentera,578.39,84.25,2017,3
Mallorca,749.57,122.86,2017,2
Menorca,427.47,73.3,2017,2
Ibiza_Formentera,686.81,90.74,2017,2
Mallorca,717.6,100.93,2017,1
Menorca,434.59,63.81,2017,1
Ibiza_Formentera,556.54,79.36,2017,1
Mallorca,866.89,98.16,2016,12
Menorca,440.9,65.1,2016,12
Ibiza_Formentera,657.11,84.81,2016,12
Mallorca,753.41,123.19,2016,11
Menorca,466.51,74.33,2016,11
Ibiza_Formentera,886.23,103.37,2016,11
Mallorca,970.08,118.66,2016,10
Menorca,817.26,106.91,2016,10
Ibiza_Formentera,806.14,118.82,2016,10
Mallorca,954.36,125.88,2016,9
Menorca,902.49,111.8,2016,9
Ibiza_Formentera,885.46,149.64,2016,9
Mallorca,1070.07,129.69,2016,8
Menorca,902.35,101.42,2016,8
Ibiza_Formentera,988.11,148.95,2016,8
Mallorca,1055.94,138.48,2016,7
Menorca,889.02,120.6,2016,7
Ibiza_Formentera,1016.31,172.45,2016,7
Mallorca,944.51,132.19,2016,6
Menorca,798.7,112.74,2016,6
Ibiza_Formentera,866.95,152.16,2016,6
Mallorca,905.84,137.25,2016,5
Menorca,769.67,119.07,2016,5
Ibiza_Formentera,761.93,142.4,2016,5
Mallorca,823.74,125.38,2016,4
