origen_turista,Gasto_persona,Gasto_persona_día,year,month
ESPAÑA,465.42,81.44,2021,12
Francia,482.04,106.16,2021,12
Italia,,,2021,12
Reino Unido,1290.94,110.71,2021,12
Alemania,999.58,133.87,2021,12
"Bélgica, Luxemburgo y Países Bajos",1273.27,83.32,2021,12
Países nórdicos,,,2021,12
ESPAÑA,440.91,80.7,2021,11
Francia,874.99,100.55,2021,11
Italia,967.22,94.38,2021,11
Reino Unido,1113.53,107.06,2021,11
Alemania,1016.66,136.97,2021,11
"Bélgica, Luxemburgo y Países Bajos",936.42,146.52,2021,11
Países nórdicos,1435.65,138.28,2021,11
ESPAÑA,534.77,89.99,2021,10
Francia,835.99,170.52,2021,10
Italia,656.07,162.64,2021,10
Reino Unido,1011.23,150.66,2021,10
Alemania,1146.05,140.81,2021,10
"Bélgica, Luxemburgo y Países Bajos",1202.93,162.94,2021,10
Países nórdicos,1104.14,173.78,2021,10
ESPAÑA,718.54,85.85,2021,9
Francia,985.41,149.05,2021,9
Italia,973.39,139.93,2021,9
Reino Unido,1076.26,145.42,2021,9
Alemania,1128.95,140.9,2021,9
"Bélgica, Luxemburgo y Países Bajos",1142.84,180.33,2021,9
Países nórdicos,1167.73,184.84,2021,9
ESPAÑA,741.36,94.07,2021,8
Francia,1121.81,157.54,2021,8
Italia,1093.42,143.91,2021,8
Reino Unido,1294.68,155.36,2021,8
Alemania,1100.02,155.16,2021,8
"Bélgica, Luxemburgo y Países Bajos",1270.89,180.54,2021,8
Países nórdicos,1386.38,178.06,2021,8
ESPAÑA,611.89,91.94,2021,7
Francia,1155.17,177.3,2021,7
Italia,927.22,178.29,2021,7
Reino Unido,1177.84,186.22,2021,7
Alemania,1223.7,158.34,2021,7
"Bélgica, Luxemburgo y Países Bajos",1289.8,199.91,2021,7
Países nórdicos,1401.4,171.18,2021,7
ESPAÑA,614.01,104.94,2021,6
Francia,980.05,161.93,2021,6
Italia,803.0,131.93,2021,6
Reino Unido,1222.7,126.51,2021,6
Alemania,1118.37,158.71,2021,6
"Bélgica, Luxemburgo y Países Bajos",1143.36,178.16,2021,6
Países nórdicos,1076.03,159.93,2021,6
ESPAÑA,498.64,87.15,2021,5
Francia,918.7,158.69,2021,5
Italia,740.62,130.23,2021,5
Reino Unido,1071.89,106.79,2021,5
Alemania,1034.09,138.94,2021,5
"Bélgica, Luxemburgo y Países Bajos",1050.49,156.79,2021,5
Países nórdicos,1029.79,178.11,2021,5
ESPAÑA,480.74,59.29,2021,4
Francia,799.41,123.63,2021,4
Italia,,,2021,4
Reino Unido,993.66,116.51,2021,4
Alemania,1025.33,124.78,2021,4
"Bélgica, Luxemburgo y Países Bajos",948.3,134.19,2021,4
Países nórdicos,1176.03,116.53,2021,4
ESPAÑA,495.09,63.83,2021,3
Francia,1064.94,141.8,2021,3
Italia,715.61,76.71,2021,3
Reino Unido,745.67,124.08,2021,3
Alemania,910.56,108.39,2021,3
"Bélgica, Luxemburgo y Países Bajos",972.35,121.56,2021,3
Países nórdicos,,,2021,3
ESPAÑA,453.8,54.24,2021,2
Francia,,,2021,2
Italia,,,2021,2
Reino Unido,763.84,109.64,2021,2
Alemania,1100.69,88.51,2021,2
"Bélgica, Luxemburgo y Países Bajos",946.45,144.88,2021,2
Países nórdicos,1448.5,93.62,2021,2
ESPAÑA,496.5,42.9,2021,1
Francia,1164.64,79.51,2021,1
Italia,,,2021,1
Reino Unido,742.77,122.89,2021,1
Alemania,900.79,96.57,2021,1
"Bélgica, Luxemburgo y Países Bajos",1116.78,138.68,2021,1
Países nórdicos,1355.48,101.54,2021,1
ESPAÑA,430.09,59.2,2020,12
Francia,,,2020,12
Italia,996.17,79.08,2020,12
Reino Unido,733.84,77.77,2020,12
Alemania,975.25,102.14,2020,12
"Bélgica, Luxemburgo y Países Bajos",1035.9,164.78,2020,12
Países nórdicos,,,2020,12
ESPAÑA,522.02,66.66,2020,11
Francia,805.46,138.77,2020,11
Italia,879.9,86.25,2020,11
Reino Unido,1132.09,86.88,2020,11
Alemania,1024.18,99.76,2020,11
"Bélgica, Luxemburgo y Países Bajos",1133.47,154.04,2020,11
Países nórdicos,,,2020,11
ESPAÑA,483.79,68.04,2020,10
Francia,810.34,143.13,2020,10
Italia,1244.97,74.92,2020,10
Reino Unido,1153.37,78.71,2020,10
Alemania,998.57,95.13,2020,10
"Bélgica, Luxemburgo y Países Bajos",856.61,148.63,2020,10
Países nórdicos,1025.51,141.54,2020,10
ESPAÑA,756.13,77.12,2020,9
Francia,871.36,169.62,2020,9
Italia,858.09,123.88,2020,9
Reino Unido,1001.47,111.18,2020,9
Alemania,1111.27,101.35,2020,9
"Bélgica, Luxemburgo y Países Bajos",1018.02,191.93,2020,9
Países nórdicos,1018.64,188.11,2020,9
ESPAÑA,725.44,86.56,2020,8
Francia,1103.35,160.73,2020,8
Italia,1041.8,151.55,2020,8
Reino Unido,1300.91,113.97,2020,8
Alemania,1109.11,138.23,2020,8
"Bélgica, Luxemburgo y Países Bajos",1245.51,194.18,2020,8
Países nórdicos,1400.11,167.18,2020,8
ESPAÑA,612.29,85.97,2020,7
Francia,992.72,141.3,2020,7
Italia,973.25,139.77,2020,7
Reino Unido,1066.91,138.44,2020,7
Alemania,1029.01,130.6,2020,7
"Bélgica, Luxemburgo y Países Bajos",1262.45,162.75,2020,7
Países nórdicos,1288.77,145.09,2020,7
ESPAÑA,521.26,69.97,2020,6
Francia,802.81,188.63,2020,6
Italia,815.4,130.04,2020,6
Reino Unido,,,2020,6
Alemania,951.58,125.72,2020,6
"Bélgica, Luxemburgo y Países Bajos",1147.45,77.1,2020,6
Países nórdicos,,,2020,6
ESPAÑA,,,2020,5
Francia,,,2020,5
Italia,,,2020,5
Reino Unido,,,2020,5
Alemania,,,2020,5
"Bélgica, Luxemburgo y Países Bajos",,,2020,5
Países nórdicos,,,2020,5
ESPAÑA,,,2020,4
Francia,,,2020,4
Italia,,,2020,4
Reino Unido,,,2020,4
Alemania,,,2020,4
"Bélgica, Luxemburgo y Países Bajos",,,2020,4
Países nórdicos,,,2020,4
ESPAÑA,395.39,87.76,2020,3
Francia,712.34,104.5,2020,3
Italia,,,2020,3
Reino Unido,808.32,155.92,2020,3
Alemania,883.92,157.2,2020,3
"Bélgica, Luxemburgo y Países Bajos",810.03,187.88,2020,3
Países nórdicos,,,2020,3
ESPAÑA,423.68,95.65,2020,2
Francia,835.78,125.74,2020,2
Italia,,,2020,2
Reino Unido,883.42,126.57,2020,2
Alemania,900.94,142.26,2020,2
"Bélgica, Luxemburgo y Países Bajos",939.49,169.75,2020,2
Países nórdicos,,,2020,2
ESPAÑA,439.29,60.8,2020,1
Francia,,,2020,1
Italia,,,2020,1
Reino Unido,884.37,125.1,2020,1
Alemania,1007.97,113.89,2020,1
