origen_turistas,Isla,year,month,Num_turistas
ESPAÑA,Mallorca,2021,12,53234.0
Francia,Mallorca,2021,12,6904.0
Italia,Mallorca,2021,12,2732.0
Reino Unido,Mallorca,2021,12,8899.0
Alemania,Mallorca,2021,12,55336.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2021,12,5176.0
Países nórdicos,Mallorca,2021,12,4660.0
ESPAÑA,Mallorca,2021,11,63881.0
Francia,Mallorca,2021,11,7205.0
Italia,Mallorca,2021,11,2256.0
Reino Unido,Mallorca,2021,11,13308.0
Alemania,Mallorca,2021,11,74522.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2021,11,4625.0
Países nórdicos,Mallorca,2021,11,11677.0
ESPAÑA,Mallorca,2021,10,111038.0
Francia,Mallorca,2021,10,56285.0
Italia,Mallorca,2021,10,4689.0
Reino Unido,Mallorca,2021,10,125744.0
Alemania,Mallorca,2021,10,371304.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2021,10,47434.0
Países nórdicos,Mallorca,2021,10,60549.0
ESPAÑA,Mallorca,2021,9,127883.0
Francia,Mallorca,2021,9,50747.0
Italia,Mallorca,2021,9,10610.0
Reino Unido,Mallorca,2021,9,133733.0
Alemania,Mallorca,2021,9,361804.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2021,9,67696.0
Países nórdicos,Mallorca,2021,9,53860.0
ESPAÑA,Mallorca,2021,8,265517.0
Francia,Mallorca,2021,8,120526.0
Italia,Mallorca,2021,8,22790.0
Reino Unido,Mallorca,2021,8,172217.0
Alemania,Mallorca,2021,8,285384.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2021,8,87530.0
Países nórdicos,Mallorca,2021,8,51835.0
ESPAÑA,Mallorca,2021,7,205390.0
Francia,Mallorca,2021,7,62451.0
Italia,Mallorca,2021,7,15137.0
Reino Unido,Mallorca,2021,7,183066.0
Alemania,Mallorca,2021,7,347076.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2021,7,68746.0
Países nórdicos,Mallorca,2021,7,74355.0
ESPAÑA,Mallorca,2021,6,120640.0
Francia,Mallorca,2021,6,34548.0
Italia,Mallorca,2021,6,7378.0
Reino Unido,Mallorca,2021,6,21733.0
Alemania,Mallorca,2021,6,286400.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2021,6,41500.0
Países nórdicos,Mallorca,2021,6,30409.0
ESPAÑA,Mallorca,2021,5,54892.0
Francia,Mallorca,2021,5,23702.0
Italia,Mallorca,2021,5,4344.0
Reino Unido,Mallorca,2021,5,3670.0
Alemania,Mallorca,2021,5,210499.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2021,5,20577.0
Países nórdicos,Mallorca,2021,5,11170.0
ESPAÑA,Mallorca,2021,4,28964.0
Francia,Mallorca,2021,4,4362.0
Italia,Mallorca,2021,4,
Reino Unido,Mallorca,2021,4,1106.0
Alemania,Mallorca,2021,4,77795.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2021,4,6819.0
Países nórdicos,Mallorca,2021,4,4360.0
ESPAÑA,Mallorca,2021,3,21546.0
Francia,Mallorca,2021,3,1893.0
Italia,Mallorca,2021,3,1789.0
Reino Unido,Mallorca,2021,3,1507.0
Alemania,Mallorca,2021,3,43890.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2021,3,3902.0
Países nórdicos,Mallorca,2021,3,2534.0
ESPAÑA,Mallorca,2021,2,15239.0
Francia,Mallorca,2021,2,1191.0
Italia,Mallorca,2021,2,
Reino Unido,Mallorca,2021,2,1270.0
Alemania,Mallorca,2021,2,5627.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2021,2,846.0
Países nórdicos,Mallorca,2021,2,369.0
ESPAÑA,Mallorca,2021,1,30910.0
Francia,Mallorca,2021,1,1680.0
Italia,Mallorca,2021,1,748.0
Reino Unido,Mallorca,2021,1,1234.0
Alemania,Mallorca,2021,1,4897.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2021,1,1038.0
Países nórdicos,Mallorca,2021,1,1066.0
ESPAÑA,Mallorca,2020,12,30337.0
Francia,Mallorca,2020,12,1349.0
Italia,Mallorca,2020,12,244.0
Reino Unido,Mallorca,2020,12,997.0
Alemania,Mallorca,2020,12,7824.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2020,12,2438.0
Países nórdicos,Mallorca,2020,12,874.0
ESPAÑA,Mallorca,2020,11,22267.0
Francia,Mallorca,2020,11,683.0
Italia,Mallorca,2020,11,265.0
Reino Unido,Mallorca,2020,11,1587.0
Alemania,Mallorca,2020,11,8534.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2020,11,1388.0
Países nórdicos,Mallorca,2020,11,1253.0
ESPAÑA,Mallorca,2020,10,50634.0
Francia,Mallorca,2020,10,9438.0
Italia,Mallorca,2020,10,757.0
Reino Unido,Mallorca,2020,10,7147.0
Alemania,Mallorca,2020,10,27974.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2020,10,3688.0
Países nórdicos,Mallorca,2020,10,5078.0
ESPAÑA,Mallorca,2020,9,70499.0
Francia,Mallorca,2020,9,10724.0
Italia,Mallorca,2020,9,2461.0
Reino Unido,Mallorca,2020,9,13445.0
Alemania,Mallorca,2020,9,22017.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2020,9,7354.0
Países nórdicos,Mallorca,2020,9,5554.0
ESPAÑA,Mallorca,2020,8,187355.0
Francia,Mallorca,2020,8,43383.0
Italia,Mallorca,2020,8,11605.0
Reino Unido,Mallorca,2020,8,28928.0
Alemania,Mallorca,2020,8,123080.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2020,8,24901.0
