procedencia,Isla,gasto_persona,gasto_persona_dia,year,month
Con paquete turístico,Mallorca,868.0,195.77,2021,12
Sin paquete turístico,Mallorca,887.93,108.66,2021,12
Con paquete turístico,Menorca,300.2,184.6,2021,12
Sin paquete turístico,Menorca,581.58,96.68,2021,12
Con paquete turístico,Eivissa-Formentera,856.4,176.23,2021,12
Sin paquete turístico,Eivissa-Formentera,739.69,87.95,2021,12
Con paquete turístico,Mallorca,1080.11,174.64,2021,11
Sin paquete turístico,Mallorca,867.03,121.89,2021,11
Con paquete turístico,Menorca,534.76,177.22,2021,11
Sin paquete turístico,Menorca,593.75,93.17,2021,11
Con paquete turístico,Eivissa-Formentera,874.88,178.87,2021,11
Sin paquete turístico,Eivissa-Formentera,759.41,81.76,2021,11
Con paquete turístico,Mallorca,1039.58,154.17,2021,10
Sin paquete turístico,Mallorca,1034.58,140.9,2021,10
Con paquete turístico,Menorca,1014.68,162.56,2021,10
Sin paquete turístico,Menorca,839.81,131.14,2021,10
Con paquete turístico,Eivissa-Formentera,1108.82,160.76,2021,10
Sin paquete turístico,Eivissa-Formentera,958.82,159.72,2021,10
Con paquete turístico,Mallorca,1064.38,164.01,2021,9
Sin paquete turístico,Mallorca,1107.12,127.55,2021,9
Con paquete turístico,Menorca,1076.0,160.83,2021,9
Sin paquete turístico,Menorca,816.65,117.46,2021,9
Con paquete turístico,Eivissa-Formentera,1045.72,162.45,2021,9
Sin paquete turístico,Eivissa-Formentera,924.83,137.64,2021,9
Con paquete turístico,Mallorca,1207.64,171.01,2021,8
Sin paquete turístico,Mallorca,1032.11,134.01,2021,8
Con paquete turístico,Menorca,1152.45,162.21,2021,8
Sin paquete turístico,Menorca,924.71,103.7,2021,8
Con paquete turístico,Eivissa-Formentera,1035.3,189.25,2021,8
Sin paquete turístico,Eivissa-Formentera,1023.46,148.95,2021,8
Con paquete turístico,Mallorca,1136.56,188.73,2021,7
Sin paquete turístico,Mallorca,1124.57,147.88,2021,7
Con paquete turístico,Menorca,1172.92,170.42,2021,7
Sin paquete turístico,Menorca,858.59,121.14,2021,7
Con paquete turístico,Eivissa-Formentera,1146.61,181.28,2021,7
Sin paquete turístico,Eivissa-Formentera,921.83,156.62,2021,7
Con paquete turístico,Mallorca,1092.74,177.98,2021,6
Sin paquete turístico,Mallorca,986.68,146.53,2021,6
Con paquete turístico,Menorca,1077.24,156.47,2021,6
Sin paquete turístico,Menorca,749.54,117.61,2021,6
Con paquete turístico,Eivissa-Formentera,1127.04,164.72,2021,6
Sin paquete turístico,Eivissa-Formentera,911.26,123.34,2021,6
Con paquete turístico,Mallorca,1040.6,182.3,2021,5
Sin paquete turístico,Mallorca,954.04,131.46,2021,5
Con paquete turístico,Menorca,969.85,160.01,2021,5
Sin paquete turístico,Menorca,660.91,98.52,2021,5
Con paquete turístico,Eivissa-Formentera,935.69,180.77,2021,5
Sin paquete turístico,Eivissa-Formentera,826.15,117.83,2021,5
Con paquete turístico,Mallorca,959.92,178.2,2021,4
Sin paquete turístico,Mallorca,911.32,105.41,2021,4
Con paquete turístico,Menorca,,,2021,4
Sin paquete turístico,Menorca,622.62,99.45,2021,4
Con paquete turístico,Eivissa-Formentera,,,2021,4
Sin paquete turístico,Eivissa-Formentera,663.97,87.11,2021,4
Con paquete turístico,Mallorca,,,2021,3
Sin paquete turístico,Mallorca,842.22,98.4,2021,3
Con paquete turístico,Menorca,,,2021,3
Sin paquete turístico,Menorca,512.27,63.84,2021,3
Con paquete turístico,Eivissa-Formentera,,,2021,3
Sin paquete turístico,Eivissa-Formentera,638.57,99.65,2021,3
Con paquete turístico,Mallorca,,,2021,2
Sin paquete turístico,Mallorca,697.05,78.95,2021,2
Con paquete turístico,Menorca,,,2021,2
Sin paquete turístico,Menorca,508.43,60.09,2021,2
Con paquete turístico,Eivissa-Formentera,,,2021,2
Sin paquete turístico,Eivissa-Formentera,666.3,58.32,2021,2
Con paquete turístico,Mallorca,,,2021,1
Sin paquete turístico,Mallorca,649.57,56.65,2021,1
Con paquete turístico,Menorca,,,2021,1
Sin paquete turístico,Menorca,567.34,59.92,2021,1
Con paquete turístico,Eivissa-Formentera,,,2021,1
Sin paquete turístico,Eivissa-Formentera,725.42,62.13,2021,1
Con paquete turístico,Mallorca,,,2020,12
Sin paquete turístico,Mallorca,698.75,83.17,2020,12
Con paquete turístico,Menorca,,,2020,12
Sin paquete turístico,Menorca,622.88,62.78,2020,12
Con paquete turístico,Eivissa-Formentera,,,2020,12
Sin paquete turístico,Eivissa-Formentera,649.7,88.02,2020,12
Con paquete turístico,Mallorca,966.2,178.27,2020,11
Sin paquete turístico,Mallorca,776.21,87.2,2020,11
Con paquete turístico,Menorca,,,2020,11
Sin paquete turístico,Menorca,593.41,64.66,2020,11
Con paquete turístico,Eivissa-Formentera,,,2020,11
Sin paquete turístico,Eivissa-Formentera,689.16,89.52,2020,11
Con paquete turístico,Mallorca,885.89,185.94,2020,10
Sin paquete turístico,Mallorca,731.29,89.24,2020,10
Con paquete turístico,Menorca,847.12,152.12,2020,10
Sin paquete turístico,Menorca,668.87,73.11,2020,10
Con paquete turístico,Eivissa-Formentera,,,2020,10
Sin paquete turístico,Eivissa-Formentera,749.65,88.85,2020,10
Con paquete turístico,Mallorca,916.06,175.87,2020,9
Sin paquete turístico,Mallorca,941.26,87.73,2020,9
Con paquete turístico,Menorca,966.55,169.41,2020,9
Sin paquete turístico,Menorca,792.32,75.8,2020,9
Con paquete turístico,Eivissa-Formentera,799.5,164.64,2020,9
Sin paquete turístico,Eivissa-Formentera,776.78,122.41,2020,9
Con paquete turístico,Mallorca,1175.42,173.14,2020,8
Sin paquete turístico,Mallorca,960.41,106.73,2020,8
Con paquete turístico,Menorca,1084.63,161.19,2020,8
Sin paquete turístico,Menorca,881.74,84.48,2020,8
Con paquete turístico,Eivissa-Formentera,1015.12,170.46,2020,8
Sin paquete turístico,Eivissa-Formentera,825.48,145.0,2020,8
Con paquete turístico,Mallorca,1090.12,174.87,2020,7
Sin paquete turístico,Mallorca,937.74,112.91,2020,7
Con paquete turístico,Menorca,1094.61,167.43,2020,7
Sin paquete turístico,Menorca,787.5,105.1,2020,7
Con paquete turístico,Eivissa-Formentera,1082.9,179.89,2020,7
Sin paquete turístico,Eivissa-Formentera,889.17,135.22,2020,7
Con paquete turístico,Mallorca,923.9,202.82,2020,6
Sin paquete turístico,Mallorca,703.63,82.46,2020,6
Con paquete turístico,Menorca,,,2020,6
Sin paquete turístico,Menorca,,,2020,6
Con paquete turístico,Eivissa-Formentera,,,2020,6
Sin paquete turístico,Eivissa-Formentera,,,2020,6
Con paquete turístico,Mallorca,,,2020,5
Sin paquete turístico,Mallorca,,,2020,5
Con paquete turístico,Menorca,,,2020,5
Sin paquete turístico,Menorca,,,2020,5
Con paquete turístico,Eivissa-Formentera,,,2020,5
Sin paquete turístico,Eivissa-Formentera,,,2020,5
Con paquete turístico,Mallorca,,,2020,4
Sin paquete turístico,Mallorca,,,2020,4
Con paquete turístico,Menorca,,,2020,4
Sin paquete turístico,Menorca,,,2020,4
Con paquete turístico,Eivissa-Formentera,,,2020,4
Sin paquete turístico,Eivissa-Formentera,,,2020,4
Con paquete turístico,Mallorca,899.93,167.26,2020,3
Sin paquete turístico,Mallorca,726.1,144.03,2020,3
Con paquete turístico,Menorca,,,2020,3
Sin paquete turístico,Menorca,457.92,67.64,2020,3
Con paquete turístico,Eivissa-Formentera,,,2020,3
Sin paquete turístico,Eivissa-Formentera,525.61,98.42,2020,3
Con paquete turístico,Mallorca,929.49,159.33,2020,2
Sin paquete turístico,Mallorca,779.42,123.12,2020,2
Con paquete turístico,Menorca,,,2020,2
Sin paquete turístico,Menorca,461.05,77.0,2020,2
Con paquete turístico,Eivissa-Formentera,,,2020,2
Sin paquete turístico,Eivissa-Formentera,448.33,110.11,2020,2
Con paquete turístico,Mallorca,999.8,168.39,2020,1
Sin paquete turístico,Mallorca,705.05,89.75,2020,1
