procedencia,Isla,Transporte,Alojamiento,Manutención,Actividades,Otros,year,month
España,Mallorca,5.68,4.82,5.38,4.16,4.36,2021,12
Extranjero,Mallorca,18.87,22.89,29.49,26.49,11.67,2021,12
España,Menorca,0.75,0.39,0.72,0.27,0.38,2021,12
Extranjero,Menorca,0.25,0.59,0.63,0.34,0.25,2021,12
España,Ibiza_Formentera,1.75,1.56,2.51,1.58,0.76,2021,12
Extranjero,Ibiza_Formentera,1.45,1.92,2.98,2.86,1.02,2021,12
España,Mallorca,6.65,3.35,7.02,4.83,4.62,2021,11
Extranjero,Mallorca,22.39,28.57,38.2,30.65,14.03,2021,11
España,Menorca,0.76,0.43,1.08,0.49,0.47,2021,11
Extranjero,Menorca,0.51,0.43,0.69,0.41,0.32,2021,11
España,Ibiza_Formentera,1.49,,2.3,1.24,,2021,11
Extranjero,Ibiza_Formentera,2.57,2.07,3.73,3.26,1.4,2021,11
España,Mallorca,11.63,7.59,12.93,8.85,9.45,2021,10
Extranjero,Mallorca,91.17,154.64,177.04,153.12,73.81,2021,10
España,Menorca,2.84,4.06,4.35,2.3,2.9,2021,10
Extranjero,Menorca,4.77,8.85,9.69,6.71,3.9,2021,10
España,Ibiza_Formentera,4.5,6.38,7.34,3.83,2.24,2021,10
Extranjero,Ibiza_Formentera,31.89,43.95,38.59,33.38,12.09,2021,10
España,Mallorca,15.43,17.31,20.09,14.6,24.08,2021,9
Extranjero,Mallorca,88.03,160.35,176.73,153.05,81.32,2021,9
España,Menorca,13.32,18.6,16.29,4.53,14.54,2021,9
Extranjero,Menorca,6.27,13.84,13.58,11.43,7.05,2021,9
España,Ibiza_Formentera,13.71,13.32,24.56,11.64,5.96,2021,9
Extranjero,Ibiza_Formentera,34.93,79.31,57.99,46.23,16.49,2021,9
España,Mallorca,34.75,37.82,43.82,26.06,27.27,2021,8
Extranjero,Mallorca,120.8,238.01,186.87,144.41,92.61,2021,8
España,Menorca,26.71,40.22,44.33,19.64,22.39,2021,8
Extranjero,Menorca,11.7,31.46,19.09,14.35,10.31,2021,8
España,Ibiza_Formentera,23.04,41.5,36.12,19.3,10.78,2021,8
Extranjero,Ibiza_Formentera,47.53,105.01,65.13,54.41,22.86,2021,8
España,Mallorca,27.96,21.28,29.37,19.64,15.88,2021,7
Extranjero,Mallorca,125.16,237.6,201.37,156.41,135.45,2021,7
España,Menorca,22.79,29.71,26.26,15.4,14.29,2021,7
Extranjero,Menorca,12.69,32.34,19.61,13.25,11.35,2021,7
España,Ibiza_Formentera,21.99,20.99,26.46,16.07,10.72,2021,7
Extranjero,Ibiza_Formentera,49.96,94.27,63.44,49.44,25.19,2021,7
España,Mallorca,13.52,12.34,15.08,10.29,11.46,2021,6
Extranjero,Mallorca,62.22,109.84,104.56,88.79,77.59,2021,6
España,Menorca,10.75,15.24,14.18,7.42,8.06,2021,6
Extranjero,Menorca,2.13,6.12,5.48,3.79,2.53,2021,6
España,Ibiza_Formentera,8.03,15.74,12.05,7.91,6.94,2021,6
Extranjero,Ibiza_Formentera,16.76,40.15,32.79,26.52,11.93,2021,6
España,Mallorca,6.24,4.64,6.64,4.7,4.93,2021,5
Extranjero,Mallorca,41.62,67.13,71.41,57.03,45.4,2021,5
España,Menorca,2.15,1.4,2.52,1.19,1.45,2021,5
Extranjero,Menorca,1.14,2.1,2.43,1.54,1.27,2021,5
España,Ibiza_Formentera,2.14,1.75,3.04,1.57,1.4,2021,5
Extranjero,Ibiza_Formentera,8.9,10.36,15.41,12.63,4.75,2021,5
España,Mallorca,3.11,1.94,4.09,2.88,2.46,2021,4
Extranjero,Mallorca,16.2,24.68,28.04,20.86,13.08,2021,4
España,Menorca,0.54,0.42,0.62,0.31,0.43,2021,4
Extranjero,Menorca,,,,,,2021,4
España,Ibiza_Formentera,0.81,,1.11,0.42,0.21,2021,4
Extranjero,Ibiza_Formentera,1.9,,2.88,2.34,0.99,2021,4
España,Mallorca,2.29,2.01,2.96,1.95,1.78,2021,3
Extranjero,Mallorca,10.91,12.71,16.6,12.73,5.57,2021,3
España,Menorca,0.54,0.29,0.53,0.3,0.35,2021,3
Extranjero,Menorca,,,,,,2021,3
España,Ibiza_Formentera,0.3,,0.33,0.08,0.15,2021,3
Extranjero,Ibiza_Formentera,0.45,,0.69,0.57,0.24,2021,3
España,Mallorca,1.59,1.05,1.74,1.17,0.97,2021,2
Extranjero,Mallorca,2.16,2.37,3.29,3.09,1.57,2021,2
España,Menorca,0.33,0.2,0.36,0.24,0.19,2021,2
Extranjero,Menorca,,,,,,2021,2
España,Ibiza_Formentera,0.26,,0.44,0.12,0.12,2021,2
Extranjero,Ibiza_Formentera,0.1,,0.18,0.14,0.07,2021,2
España,Mallorca,3.28,1.67,4.42,2.99,2.16,2021,1
Extranjero,Mallorca,2.49,2.16,3.62,4.16,1.69,2021,1
España,Menorca,0.38,,0.42,0.3,0.18,2021,1
Extranjero,Menorca,,,,,,2021,1
España,Ibiza_Formentera,0.49,,0.85,0.34,,2021,1
Extranjero,Ibiza_Formentera,0.22,,0.38,0.32,,2021,1
