Isla,year,month,Tarifa_media_diaria
Mallorca,2021,12,106.2
Mallorca,2021,11,93.3
Mallorca,2021,10,95.1
Mallorca,2021,9,110.7
Mallorca,2021,8,130.8
Mallorca,2021,7,126.3
Mallorca,2021,6,107.6
Mallorca,2021,5,114.1
Mallorca,2021,4,101.6
Mallorca,2021,3,95.7
Mallorca,2021,2,69.8
Mallorca,2021,1,74.0
Mallorca,2020,12,89.7
Mallorca,2020,11,76.6
Mallorca,2020,10,85.0
Mallorca,2020,9,89.4
Mallorca,2020,8,114.0
Mallorca,2020,7,117.1
Mallorca,2020,6,
Mallorca,2020,5,
Mallorca,2020,4,0.0
Mallorca,2020,3,71.3
Mallorca,2020,2,73.2
Mallorca,2020,1,80.1
Mallorca,2019,12,112.2
Mallorca,2019,11,83.0
Mallorca,2019,10,81.8
Mallorca,2019,9,101.9
Mallorca,2019,8,122.3
Mallorca,2019,7,118.8
Mallorca,2019,6,100.0
Mallorca,2019,5,80.3
Mallorca,2019,4,81.1
Mallorca,2019,3,73.0
Mallorca,2019,2,74.9
Mallorca,2019,1,85.7
Mallorca,2018,12,99.2
Mallorca,2018,11,88.3
Mallorca,2018,10,79.2
Mallorca,2018,9,97.4
Mallorca,2018,8,117.0
Mallorca,2018,7,113.2
Mallorca,2018,6,95.6
Mallorca,2018,5,80.5
Mallorca,2018,4,79.1
Mallorca,2018,3,74.7
Mallorca,2018,2,72.5
Mallorca,2018,1,79.1
Mallorca,2017,12,85.4
Mallorca,2017,11,76.2
Mallorca,2017,10,78.8
Mallorca,2017,9,93.7
Mallorca,2017,8,111.0
Mallorca,2017,7,105.9
Mallorca,2017,6,92.2
Mallorca,2017,5,77.3
Mallorca,2017,4,77.0
Mallorca,2017,3,68.8
Mallorca,2017,2,68.7
Mallorca,2017,1,78.5
Mallorca,2016,12,91.2
Mallorca,2016,11,75.9
Mallorca,2016,10,69.0
Mallorca,2016,9,86.1
Mallorca,2016,8,100.5
Mallorca,2016,7,95.7
Mallorca,2016,6,79.1
Mallorca,2016,5,67.7
Mallorca,2016,4,66.3
Mallorca,2016,3,66.4
Mallorca,2016,2,65.1
Mallorca,2016,1,60.3
Mallorca,2015,12,79.8
Mallorca,2015,11,72.1
Mallorca,2015,10,67.0
Mallorca,2015,9,79.2
Mallorca,2015,8,91.8
Mallorca,2015,7,88.9
Mallorca,2015,6,76.3
Mallorca,2015,5,65.4
Mallorca,2015,4,65.0
Mallorca,2015,3,61.8
Mallorca,2015,2,57.8
Mallorca,2015,1,65.4
Mallorca,2014,12,77.0
Mallorca,2014,11,71.3
Mallorca,2014,10,61.6
Mallorca,2014,9,76.1
Mallorca,2014,8,88.7
Mallorca,2014,7,84.0
Mallorca,2014,6,69.0
Mallorca,2014,5,60.8
Mallorca,2014,4,59.3
Mallorca,2014,3,55.0
Mallorca,2014,2,55.3
Mallorca,2014,1,61.3
Mallorca,2013,12,68.5
Mallorca,2013,11,59.5
Mallorca,2013,10,59.6
Mallorca,2013,9,70.4
Mallorca,2013,8,84.7
Mallorca,2013,7,80.8
Mallorca,2013,6,67.2
Mallorca,2013,5,59.8
Mallorca,2013,4,58.7
Mallorca,2013,3,57.0
Mallorca,2013,2,54.0
Mallorca,2013,1,57.0
Mallorca,2012,12,64.3
Mallorca,2012,11,64.5
Mallorca,2012,10,59.3
Mallorca,2012,9,67.7
Mallorca,2012,8,82.1
Mallorca,2012,7,77.8
Mallorca,2012,6,65.6
Mallorca,2012,5,56.7
Mallorca,2012,4,59.3
Mallorca,2012,3,54.3
Mallorca,2012,2,55.3
Mallorca,2012,1,54.3
Mallorca,2011,12,61.4
Mallorca,2011,11,62.3
Mallorca,2011,10,56.5
Mallorca,2011,9,64.1
Mallorca,2011,8,76.0
Mallorca,2011,7,70.4
Mallorca,2011,6,61.6
Mallorca,2011,5,53.7
