tipo_alojamiento,year,num_establecim,num_plazas,Isla
   (AG) AGROTURISMO,2020,286.0,5590.0,Mallorca
   (AP) APARTAMENTOS TURÍSTICOS,2020,295.0,33039.0,Mallorca
   (CH) CASA DE HUÉSPEDES,2020,15.0,479.0,Mallorca
   (CT) CAMPING TURÍSTICO,2020,1.0,500.0,Mallorca
   (CV) CIUDAD DE VACACIONES,2020,0.0,0.0,Mallorca
   (F) FONDA,2020,8.0,236.0,Mallorca
   (H) HOTEL,2020,651.0,174485.0,Mallorca
   (HA) HOTEL APARTAMENTO,2020,211.0,80259.0,Mallorca
   (HO) HOSPEDERÍA,2020,3.0,134.0,Mallorca
   (HR) HOTEL RURAL,2020,37.0,1827.0,Mallorca
   (HRE) HOTEL RESIDENCIA,2020,1.0,132.0,Mallorca
   (HS) HOSTAL,2020,59.0,3018.0,Mallorca
   (HSR) HOSTAL RESIDENCIA,2020,69.0,2680.0,Mallorca
   (PE) PENSIÓN,2020,1.0,23.0,Mallorca
   (RA) RESIDENCIA APARTAMENTO,2020,0.0,0.0,Mallorca
   (TI) TURISMO DE INTERIOR,2020,154.0,2308.0,Mallorca
   (AG) AGROTURISMO,2019,284.0,5484.0,Mallorca
   (AP) APARTAMENTOS TURÍSTICOS,2019,297.0,33130.0,Mallorca
   (CH) CASA DE HUÉSPEDES,2019,15.0,479.0,Mallorca
   (CT) CAMPING TURÍSTICO,2019,1.0,500.0,Mallorca
   (CV) CIUDAD DE VACACIONES,2019,0.0,0.0,Mallorca
   (F) FONDA,2019,8.0,236.0,Mallorca
   (H) HOTEL,2019,652.0,173674.0,Mallorca
   (HA) HOTEL APARTAMENTO,2019,207.0,79614.0,Mallorca
   (HO) HOSPEDERÍA,2019,3.0,134.0,Mallorca
   (HR) HOTEL RURAL,2019,37.0,1785.0,Mallorca
   (HRE) HOTEL RESIDENCIA,2019,2.0,284.0,Mallorca
   (HS) HOSTAL,2019,61.0,3143.0,Mallorca
   (HSR) HOSTAL RESIDENCIA,2019,71.0,2747.0,Mallorca
   (PE) PENSIÓN,2019,1.0,23.0,Mallorca
   (RA) RESIDENCIA APARTAMENTO,2019,0.0,0.0,Mallorca
   (TI) TURISMO DE INTERIOR,2019,156.0,2333.0,Mallorca
   (AG) AGROTURISMO,2018,286.0,5503.0,Mallorca
   (AP) APARTAMENTOS TURÍSTICOS,2018,299.0,33855.0,Mallorca
   (CH) CASA DE HUÉSPEDES,2018,16.0,527.0,Mallorca
   (CT) CAMPING TURÍSTICO,2018,1.0,500.0,Mallorca
   (CV) CIUDAD DE VACACIONES,2018,0.0,0.0,Mallorca
   (F) FONDA,2018,8.0,236.0,Mallorca
   (H) HOTEL,2018,632.0,168705.0,Mallorca
   (HA) HOTEL APARTAMENTO,2018,208.0,81125.0,Mallorca
   (HO) HOSPEDERÍA,2018,3.0,134.0,Mallorca
   (HR) HOTEL RURAL,2018,38.0,1697.0,Mallorca
   (HRE) HOTEL RESIDENCIA,2018,2.0,284.0,Mallorca
   (HS) HOSTAL,2018,64.0,3367.0,Mallorca
   (HSR) HOSTAL RESIDENCIA,2018,73.0,2839.0,Mallorca
   (PE) PENSIÓN,2018,1.0,23.0,Mallorca
   (RA) RESIDENCIA APARTAMENTO,2018,0.0,0.0,Mallorca
   (TI) TURISMO DE INTERIOR,2018,161.0,2339.0,Mallorca
   (AG) AGROTURISMO,2017,287.0,5410.0,Mallorca
   (AP) APARTAMENTOS TURÍSTICOS,2017,301.0,34567.0,Mallorca
   (CH) CASA DE HUÉSPEDES,2017,16.0,527.0,Mallorca
   (CT) CAMPING TURÍSTICO,2017,1.0,500.0,Mallorca
   (CV) CIUDAD DE VACACIONES,2017,0.0,0.0,Mallorca
   (F) FONDA,2017,8.0,236.0,Mallorca
   (H) HOTEL,2017,615.0,165006.0,Mallorca
   (HA) HOTEL APARTAMENTO,2017,206.0,81219.0,Mallorca
   (HO) HOSPEDERÍA,2017,3.0,134.0,Mallorca
   (HR) HOTEL RURAL,2017,37.0,1661.0,Mallorca
   (HRE) HOTEL RESIDENCIA,2017,2.0,284.0,Mallorca
   (HS) HOSTAL,2017,66.0,3452.0,Mallorca
   (HSR) HOSTAL RESIDENCIA,2017,78.0,3084.0,Mallorca
   (PE) PENSIÓN,2017,1.0,23.0,Mallorca
   (RA) RESIDENCIA APARTAMENTO,2017,0.0,0.0,Mallorca
   (TI) TURISMO DE INTERIOR,2017,159.0,2389.0,Mallorca
   (AG) AGROTURISMO,2016,245.0,4108.0,Mallorca
   (AP) APARTAMENTOS TURÍSTICOS,2016,315.0,38643.0,Mallorca
   (CH) CASA DE HUÉSPEDES,2016,16.0,527.0,Mallorca
   (CT) CAMPING TURÍSTICO,2016,1.0,500.0,Mallorca
   (CV) CIUDAD DE VACACIONES,2016,2.0,1778.0,Mallorca
   (F) FONDA,2016,8.0,236.0,Mallorca
   (H) HOTEL,2016,579.0,156139.0,Mallorca
   (HA) HOTEL APARTAMENTO,2016,202.0,79873.0,Mallorca
   (HO) HOSPEDERÍA,2016,3.0,134.0,Mallorca
   (HR) HOTEL RURAL,2016,37.0,1553.0,Mallorca
   (HRE) HOTEL RESIDENCIA,2016,6.0,497.0,Mallorca
   (HS) HOSTAL,2016,68.0,3595.0,Mallorca
   (HSR) HOSTAL RESIDENCIA,2016,86.0,3590.0,Mallorca
   (PE) PENSIÓN,2016,1.0,23.0,Mallorca
   (RA) RESIDENCIA APARTAMENTO,2016,0.0,0.0,Mallorca
   (TI) TURISMO DE INTERIOR,2016,103.0,1373.0,Mallorca
   (AG) AGROTURISMO,2015,223.0,3583.0,Mallorca
   (AP) APARTAMENTOS TURÍSTICOS,2015,329.0,40207.0,Mallorca
   (CH) CASA DE HUÉSPEDES,2015,17.0,540.0,Mallorca
   (CT) CAMPING TURÍSTICO,2015,1.0,500.0,Mallorca
   (CV) CIUDAD DE VACACIONES,2015,2.0,1778.0,Mallorca
   (F) FONDA,2015,8.0,230.0,Mallorca
   (H) HOTEL,2015,568.0,153851.0,Mallorca
   (HA) HOTEL APARTAMENTO,2015,192.0,77124.0,Mallorca
   (HO) HOSPEDERÍA,2015,2.0,86.0,Mallorca
   (HR) HOTEL RURAL,2015,37.0,1487.0,Mallorca
   (HRE) HOTEL RESIDENCIA,2015,9.0,571.0,Mallorca
   (HS) HOSTAL,2015,74.0,3938.0,Mallorca
   (HSR) HOSTAL RESIDENCIA,2015,90.0,3701.0,Mallorca
   (PE) PENSIÓN,2015,1.0,23.0,Mallorca
   (RA) RESIDENCIA APARTAMENTO,2015,0.0,0.0,Mallorca
   (TI) TURISMO DE INTERIOR,2015,88.0,1212.0,Mallorca
   (AG) AGROTURISMO,2014,201.0,3164.0,Mallorca
   (AP) APARTAMENTOS TURÍSTICOS,2014,338.0,40546.0,Mallorca
   (CH) CASA DE HUÉSPEDES,2014,18.0,556.0,Mallorca
   (CT) CAMPING TURÍSTICO,2014,1.0,500.0,Mallorca
   (CV) CIUDAD DE VACACIONES,2014,2.0,1778.0,Mallorca
   (F) FONDA,2014,8.0,230.0,Mallorca
   (H) HOTEL,2014,565.0,154345.0,Mallorca
   (HA) HOTEL APARTAMENTO,2014,194.0,76600.0,Mallorca
   (HO) HOSPEDERÍA,2014,0.0,0.0,Mallorca
   (HR) HOTEL RURAL,2014,35.0,1443.0,Mallorca
   (HRE) HOTEL RESIDENCIA,2014,9.0,571.0,Mallorca
   (HS) HOSTAL,2014,76.0,4094.0,Mallorca
   (HSR) HOSTAL RESIDENCIA,2014,90.0,3691.0,Mallorca
   (PE) PENSIÓN,2014,1.0,23.0,Mallorca
   (RA) RESIDENCIA APARTAMENTO,2014,0.0,0.0,Mallorca
   (TI) TURISMO DE INTERIOR,2014,79.0,1037.0,Mallorca
   (AG) AGROTURISMO,2013,182.0,2783.0,Mallorca
   (AP) APARTAMENTOS TURÍSTICOS,2013,343.0,41132.0,Mallorca
   (CH) CASA DE HUÉSPEDES,2013,18.0,550.0,Mallorca
   (CT) CAMPING TURÍSTICO,2013,1.0,500.0,Mallorca
   (CV) CIUDAD DE VACACIONES,2013,1.0,660.0,Mallorca
   (F) FONDA,2013,8.0,230.0,Mallorca
