tipo_alojamiento,Isla,year,month,Num_establecimientos
Hoteles y similares,Mallorca,2021,12,42459.0
Alojamiento de alquiler,Mallorca,2021,12,23338.0
Otro alojamiento de mercado,Mallorca,2021,12,2642.0
Alojamiento en propiedad,Mallorca,2021,12,30216.0
Alojamiento de familiares o amigos,Mallorca,2021,12,58263.0
Hoteles y similares,Mallorca,2021,11,60048.0
Alojamiento de alquiler,Mallorca,2021,11,27539.0
Otro alojamiento de mercado,Mallorca,2021,11,5924.0
Alojamiento en propiedad,Mallorca,2021,11,36012.0
Alojamiento de familiares o amigos,Mallorca,2021,11,66021.0
Hoteles y similares,Mallorca,2021,10,547549.0
Alojamiento de alquiler,Mallorca,2021,10,155793.0
Otro alojamiento de mercado,Mallorca,2021,10,19069.0
Alojamiento en propiedad,Mallorca,2021,10,65695.0
Alojamiento de familiares o amigos,Mallorca,2021,10,109447.0
Hoteles y similares,Mallorca,2021,9,686615.0
Alojamiento de alquiler,Mallorca,2021,9,111646.0
Otro alojamiento de mercado,Mallorca,2021,9,18556.0
Alojamiento en propiedad,Mallorca,2021,9,50292.0
Alojamiento de familiares o amigos,Mallorca,2021,9,88384.0
Hoteles y similares,Mallorca,2021,8,793274.0
Alojamiento de alquiler,Mallorca,2021,8,150317.0
Otro alojamiento de mercado,Mallorca,2021,8,26524.0
Alojamiento en propiedad,Mallorca,2021,8,61248.0
Alojamiento de familiares o amigos,Mallorca,2021,8,153529.0
Hoteles y similares,Mallorca,2021,7,748578.0
Alojamiento de alquiler,Mallorca,2021,7,144991.0
Otro alojamiento de mercado,Mallorca,2021,7,9865.0
Alojamiento en propiedad,Mallorca,2021,7,88868.0
Alojamiento de familiares o amigos,Mallorca,2021,7,152331.0
Hoteles y similares,Mallorca,2021,6,349737.0
Alojamiento de alquiler,Mallorca,2021,6,112068.0
Otro alojamiento de mercado,Mallorca,2021,6,8215.0
Alojamiento en propiedad,Mallorca,2021,6,56424.0
Alojamiento de familiares o amigos,Mallorca,2021,6,89054.0
Hoteles y similares,Mallorca,2021,5,165943.0
Alojamiento de alquiler,Mallorca,2021,5,88475.0
Otro alojamiento de mercado,Mallorca,2021,5,4838.0
Alojamiento en propiedad,Mallorca,2021,5,41605.0
Alojamiento de familiares o amigos,Mallorca,2021,5,62750.0
Hoteles y similares,Mallorca,2021,4,48376.0
Alojamiento de alquiler,Mallorca,2021,4,23279.0
Otro alojamiento de mercado,Mallorca,2021,4,926.0
Alojamiento en propiedad,Mallorca,2021,4,32589.0
Alojamiento de familiares o amigos,Mallorca,2021,4,35419.0
Hoteles y similares,Mallorca,2021,3,21312.0
Alojamiento de alquiler,Mallorca,2021,3,6489.0
Otro alojamiento de mercado,Mallorca,2021,3,
Alojamiento en propiedad,Mallorca,2021,3,29462.0
Alojamiento de familiares o amigos,Mallorca,2021,3,25775.0
Hoteles y similares,Mallorca,2021,2,7831.0
Alojamiento de alquiler,Mallorca,2021,2,1812.0
Otro alojamiento de mercado,Mallorca,2021,2,
Alojamiento en propiedad,Mallorca,2021,2,4948.0
Alojamiento de familiares o amigos,Mallorca,2021,2,12660.0
Hoteles y similares,Mallorca,2021,1,6263.0
Alojamiento de alquiler,Mallorca,2021,1,2716.0
Otro alojamiento de mercado,Mallorca,2021,1,
Alojamiento en propiedad,Mallorca,2021,1,8066.0
Alojamiento de familiares o amigos,Mallorca,2021,1,26948.0
Hoteles y similares,Mallorca,2020,12,10643.0
Alojamiento de alquiler,Mallorca,2020,12,3226.0
Otro alojamiento de mercado,Mallorca,2020,12,
Alojamiento en propiedad,Mallorca,2020,12,8394.0
Alojamiento de familiares o amigos,Mallorca,2020,12,26780.0
