Isla,España,Extranjero,year,month,num_turistas_ESPAÑA,num_turistas_Francia,num_turistas_Italia,num_turistas_Reino Unido,num_turistas_Alemania,"num_turistas_Bélgica, Luxemburgo y Países Bajos",num_turistas_Países nórdicos,Gasto_persona,Gasto_persona_día,Gasto_persona_ESPAÑA,Gasto_persona_Francia,Gasto_persona_Italia,Gasto_persona_Reino Unido,Gasto_persona_Alemania,"Gasto_persona_Bélgica, Luxemburgo y Países Bajos",Gasto_persona_Países nórdicos,num_Hoteles y similares,num_Alojamiento de alquiler,num_Otro alojamiento de mercado,num_Alojamiento en propiedad,num_Alojamiento de familiares o amigos
Mallorca,5.8,9.1,2021,12,53234.0,6904.0,2732.0,8899.0,55336.0,5176.0,4660.0,886.78,111.45,465.42,482.04,,1290.94,999.58,1273.27,,42459.0,23338.0,2642.0,30216.0,58263.0
Menorca,4.6,10.1,2021,12,6350.0,786.0,,477.0,,,,569.33,97.75,465.42,482.04,,1290.94,999.58,1273.27,,2538.0,636.0,,1574.0,3024.0
Ibiza_Formentera,5.9,12.5,2021,12,16220.0,278.0,,1184.0,2225.0,3914.0,,743.48,89.62,465.42,482.04,,1290.94,999.58,1273.27,,6684.0,3618.0,,4764.0,10031.0
Mallorca,4.8,8.1,2021,11,63881.0,7205.0,2256.0,13308.0,74522.0,4625.0,11677.0,886.79,126.19,440.91,874.99,967.22,1113.53,1016.66,936.42,1435.65,60048.0,27539.0,5924.0,36012.0,66021.0
Menorca,6.0,6.4,2021,11,6692.0,1270.0,,642.0,,,,589.2,96.37,440.91,874.99,967.22,1113.53,1016.66,936.42,1435.65,3675.0,1312.0,,2188.0,2438.0
Ibiza_Formentera,8.4,9.9,2021,11,13896.0,3479.0,481.0,1121.0,1763.0,4018.0,,764.39,84.01,440.91,874.99,967.22,1113.53,1016.66,936.42,1435.65,6716.0,4934.0,411.0,2611.0,12502.0
Mallorca,5.4,7.4,2021,10,111038.0,56285.0,4689.0,125744.0,371304.0,47434.0,60549.0,1036.27,145.14,534.77,835.99,656.07,1011.23,1146.05,1202.93,1104.14,547549.0,155793.0,19069.0,65695.0,109447.0
Menorca,6.0,6.5,2021,10,25166.0,13772.0,1754.0,15480.0,4230.0,1152.0,,881.73,138.53,534.77,835.99,656.07,1011.23,1146.05,1202.93,1104.14,40514.0,15495.0,698.0,8137.0,6478.0
Ibiza_Formentera,7.4,5.9,2021,10,41378.0,15941.0,16007.0,40668.0,30744.0,48064.0,,983.55,159.91,534.77,835.99,656.07,1011.23,1146.05,1202.93,1104.14,117209.0,51662.0,2384.0,18635.0,28725.0
Mallorca,10.4,7.4,2021,9,127883.0,50747.0,10610.0,133733.0,361804.0,67696.0,53860.0,1089.92,139.75,718.54,985.41,973.39,1076.26,1128.95,1142.84,1167.73,686615.0,111646.0,18556.0,50292.0,88384.0
Menorca,7.1,6.6,2021,9,96143.0,16387.0,6455.0,25606.0,9780.0,4027.0,,880.65,127.86,718.54,985.41,973.39,1076.26,1128.95,1142.84,1167.73,109204.0,37565.0,4557.0,8620.0,14029.0
Ibiza_Formentera,7.1,6.5,2021,9,106489.0,17061.0,36462.0,64404.0,38647.0,62959.0,,943.3,141.29,718.54,985.41,973.39,1076.26,1128.95,1142.84,1167.73,236087.0,55932.0,4549.0,19660.0,52207.0
Mallorca,7.8,7.4,2021,8,265517.0,120526.0,22790.0,172217.0,285384.0,87530.0,51835.0,1087.25,144.95,741.36,1121.81,1093.42,1294.68,1100.02,1270.89,1386.38,793274.0,150317.0,26524.0,61248.0,153529.0
